iter	Passed	Remaining
632	1108	642
633	1110	640
634	1111	638
635	1112	636
636	1114	635
637	1116	633
638	1118	631
639	1120	630
640	1121	628
641	1123	626
642	1124	624
643	1126	622
644	1128	620
645	1129	619
646	1131	617
647	1132	615
648	1134	613
649	1135	611
650	1137	609
651	1139	608
652	1141	606
653	1142	604
654	1144	602
655	1146	601
656	1147	599
657	1149	597
658	1150	595
659	1152	593
660	1153	591
661	1154	589
662	1156	587
663	1158	586
664	1159	584
665	1160	582
666	1162	580
667	1164	578
668	1165	576
669	1166	574
670	1168	572
671	1169	571
672	1171	569
673	1172	567
674	1173	565
675	1175	563
676	1176	561
677	1178	559
678	1179	557
679	1181	555
680	1182	553
681	1184	552
682	1185	550
683	1186	548
684	1188	546
685	1189	544
686	1191	542
687	1192	540
688	1194	539
689	1196	537
690	1197	535
691	1198	533
692	1200	531
693	1201	529
694	1203	528
695	1204	526
696	1206	524
697	1207	522
698	1209	520
699	1210	518
700	1212	517
701	1213	515
702	1215	513
703	1216	511
704	1218	509
705	1219	507
706	1220	505
707	1221	503
708	1223	502
709	1224	500
710	1226	498
711	1228	496
712	1229	494
713	1230	493
714	1232	491
715	1234	489
716	1236	488
717	1238	486
718	1240	484
719	1241	482
720	1243	481
721	1244	479
722	1246	477
723	1247	475
724	1249	473
725	1250	471
726	1252	470
727	1253	468
728	1255	466
729	1256	464
730	1258	463
731	1260	461
732	1262	459
733	1263	457
734	1264	456
735	1266	454
736	1268	452
737	1270	450
738	1271	449
739	1273	447
740	1274	445
741	1277	444
742	1278	442
743	1280	440
744	1281	438
745	1283	437
746	1284	435
747	1286	433
748	1287	431
749	1289	429
750	1290	427
751	1292	426
752	1293	424
753	1295	422
754	1296	420
755	1298	418
756	1299	417
757	1300	415
758	1302	413
759	1304	412
760	1306	410
761	1308	408
762	1309	406
763	1311	405
764	1313	403
765	1315	401
766	1317	400
767	1318	398
768	1319	396
769	1321	394
770	1323	392
771	1325	391
772	1326	389
773	1328	387
774	1329	386
775	1331	384
776	1332	382
777	1334	380
778	1336	379
779	1337	377
780	1339	375
781	1341	373
782	1342	372
783	1344	370
784	1346	368
785	1347	367
786	1349	365
787	1351	363
788	1353	361
789	1354	360
790	1356	358
791	1358	356
792	1360	355
793	1361	353
794	1363	351
795	1364	349
796	1366	348
797	1367	346
798	1369	344
799	1370	342
800	1372	340
801	1374	339
802	1375	337
803	1377	335
804	1379	334
805	1380	332
806	1382	330
807	1383	328
808	1385	327
809	1386	325
810	1387	323
811	1389	321
812	1390	319
813	1391	318
814	1393	316
815	1394	314
816	1396	312
817	1397	310
818	1398	309
819	1400	307
820	1401	305
821	1403	303
822	1404	302
823	1405	300
824	1407	298
825	1408	296
826	1409	294
827	1411	293
828	1412	291
829	1414	289
830	1416	288
831	1417	286
832	1418	284
833	1420	282
834	1421	280
835	1423	279
836	1425	277
837	1426	275
838	1428	274
839	1429	272
840	1431	270
841	1432	268
842	1434	267
843	1436	265
844	1437	263
845	1439	261
846	1440	260
847	1442	258
848	1443	256
849	1444	254
850	1446	253
851	1447	251
852	1448	249
853	1450	247
854	1451	246
855	1452	244
856	1454	242
857	1455	240
858	1457	239
859	1458	237
860	1459	235
861	1461	233
862	1462	232
863	1463	230
864	1465	228
865	1466	226
866	1467	225
867	1469	223
868	1470	221
869	1472	220
870	1473	218
871	1475	216
872	1476	214
873	1477	213
874	1479	211
875	1480	209
876	1481	207
877	1483	206
878	1484	204
879	1486	202
880	1487	200
881	1488	199
882	1490	197
883	1491	195
884	1493	194
885	1494	192
886	1496	190
887	1497	188
888	1499	187
889	1501	185
890	1503	183
891	1504	182
892	1506	180
893	1507	178
894	1509	177
895	1510	175
896	1512	173
897	1513	171
898	1515	170
899	1516	168
900	1518	166
901	1519	165
902	1520	163
903	1522	161
904	1524	159
905	1525	158
906	1527	156
907	1529	154
908	1530	153
909	1532	151
910	1533	149
911	1534	148
912	1536	146
913	1537	144
914	1539	142
915	1541	141
916	1542	139
917	1544	137
918	1545	136
919	1547	134
920	1548	132
921	1549	131
922	1551	129
923	1553	127
924	1555	126
925	1556	124
926	1558	122
927	1559	121
928	1561	119
929	1562	117
930	1563	115
931	1565	114
932	1567	112
933	1568	110
934	1569	109
935	1571	107
936	1573	105
937	1574	104
938	1575	102
939	1578	100
940	1580	99
941	1581	97
942	1583	95
943	1584	93
944	1586	92
945	1587	90
946	1588	88
947	1590	87
948	1592	85
949	1593	83
950	1595	82
951	1596	80
952	1598	78
953	1600	77
954	1601	75
955	1603	73
956	1604	72
957	1606	70
958	1607	68
959	1610	67
960	1611	65
961	1613	63
962	1614	62
963	1616	60
964	1617	58
965	1619	56
966	1620	55
967	1622	53
968	1624	51
969	1625	50
970	1627	48
971	1628	46
972	1630	45
973	1631	43
974	1632	41
975	1634	40
976	1635	38
977	1637	36
978	1638	35
979	1640	33
980	1642	31
981	1643	30
982	1644	28
983	1646	26
984	1647	25
985	1648	23
986	1650	21
987	1652	20
988	1653	18
989	1655	16
990	1656	15
991	1657	13
992	1659	11
993	1660	10
994	1662	8
995	1663	6
996	1665	5
997	1666	3
998	1667	1
999	1669	0
